Country;Technology;Assumptions;2020;2021;2022;2023;2024;2025;2026;2027;2028;2029;2030;2031;2032;2033;2034;2035;2036;2037;2038;2039;2040;2041;2042;2043;2044;2045;2046;2047;2048;2049;2050
Portugal;PV;baseline;590,6903181;561,6193638;537,8806527;517,9564099;500,8808372;486,0043753;472,8708989;461,1488434;450,5902554;441,005262;432,2455142;421,827312;412,5345099;403,9646031;396,0562093;388,5458666;381,2720679;374,5990554;368,2780769;362,3607314;356,6404448;350,6547284;344,7364036;339,2195503;335,3463058;323,8191859;318,3768275;313,3098671;308,5747942;304,1349881;299,9593606
Qatar;PV;baseline;602,3486798;572,7039566;548,4967183;528,1792338;510,7666432;495,596567;482,2038772;470,2504654;459,4834842;449,7093133;440,7766757;430,1528511;420,6766385;411,9375887;403,8731083;396,2145351;388,7971746;381,9924578;375,5467233;369,512588;363,679401;357,5755455;351,5404116;345,9146731;341,9649829;330,2103541;324,6605808;319,4936145;314,6650863;310,1376523;305,8796112
Romania;PV;baseline;590,6903181;561,6193638;537,8806527;517,9564099;500,8808372;486,0043753;472,8708989;461,1488434;450,5902554;441,005262;432,2455142;421,827312;412,5345099;403,9646031;396,0562093;388,5458666;381,2720679;374,5990554;368,2780769;362,3607314;356,6404448;350,6547284;344,7364036;339,2195503;335,3463058;323,8191859;318,3768275;313,3098671;308,5747942;304,1349881;299,9593606
Russian Federation;PV;baseline;854,9465133;812,870132;778,5114712;749,6737513;724,9591066;703,4273854;684,4184064;667,4522735;652,1701067;638,2970899;625,6185075;610,5395306;597,0894224;584,6856098;573,2392505;562,3690176;551,841151;542,1828434;533,0340588;524,4694798;516,1901175;507,5265807;498,9605843;490,9756651;485,3696532;468,6856638;460,8085663;453,4748077;446,6214128;440,1953775;434,1517062
Saudi Arabia;PV;baseline;602,3486798;572,7039566;548,4967183;528,1792338;510,7666432;495,596567;482,2038772;470,2504654;459,4834842;449,7093133;440,7766757;430,1528511;420,6766385;411,9375887;403,8731083;396,2145351;388,7971746;381,9924578;375,5467233;369,512588;363,679401;357,5755455;351,5404116;345,9146731;341,9649829;330,2103541;324,6605808;319,4936145;314,6650863;310,1376523;305,8796112
Sweden;PV;baseline;590,6903181;561,6193638;537,8806527;517,9564099;500,8808372;486,0043753;472,8708989;461,1488434;450,5902554;441,005262;432,2455142;421,827312;412,5345099;403,9646031;396,0562093;388,5458666;381,2720679;374,5990554;368,2780769;362,3607314;356,6404448;350,6547284;344,7364036;339,2195503;335,3463058;323,8191859;318,3768275;313,3098671;308,5747942;304,1349881;299,9593606
Singapore;PV;baseline;528,5123894;502,5015356;481,2616362;463,4346821;448,1565381;434,8460196;423,0950144;412,6068595;403,1597019;394,5836551;386,745986;377,4244367;369,1098243;361,442013;354,3660817;347,6463014;341,1381657;335,1675755;329,5119633;324,2174962;319,099345;313,7437041;308,4483608;303,512229;300,0466943;289,7329555;284,863477;280,3298808;276,0932367;272,1207785;268,3846908
Slovenia;PV;baseline;590,6903181;561,6193638;537,8806527;517,9564099;500,8808372;486,0043753;472,8708989;461,1488434;450,5902554;441,005262;432,2455142;421,827312;412,5345099;403,9646031;396,0562093;388,5458666;381,2720679;374,5990554;368,2780769;362,3607314;356,6404448;350,6547284;344,7364036;339,2195503;335,3463058;323,8191859;318,3768275;313,3098671;308,5747942;304,1349881;299,9593606
Slovakia;PV;baseline;590,6903181;561,6193638;537,8806527;517,9564099;500,8808372;486,0043753;472,8708989;461,1488434;450,5902554;441,005262;432,2455142;421,827312;412,5345099;403,9646031;396,0562093;388,5458666;381,2720679;374,5990554;368,2780769;362,3607314;356,6404448;350,6547284;344,7364036;339,2195503;335,3463058;323,8191859;318,3768275;313,3098671;308,5747942;304,1349881;299,9593606
Syria;PV;baseline;602,3486798;572,7039566;548,4967183;528,1792338;510,7666432;495,596567;482,2038772;470,2504654;459,4834842;449,7093133;440,7766757;430,1528511;420,6766385;411,9375887;403,8731083;396,2145351;388,7971746;381,9924578;375,5467233;369,512588;363,679401;357,5755455;351,5404116;345,9146731;341,9649829;330,2103541;324,6605808;319,4936145;314,6650863;310,1376523;305,8796112
